TentRepDisp(cm), TentRepAcc(g)
-2.007648294338446396e-02,4.174590287536708469e-04
-2.031046108310489984e-02,3.423902213447441081e-04
-2.058914767323183348e-02,2.526107421497629860e-04
-2.089734036245748106e-02,1.507106772525983207e-04
-2.121785492106848664e-02,4.508224459906809108e-05
-2.153215691590231601e-02,-5.637958179338139190e-05
-2.182139749548734145e-02,-1.481941207385766186e-04
-2.206776043527910666e-02,-2.249570787596359331e-04
-2.225502466189616113e-02,-2.872689845909127894e-04
-2.236926774876143303e-02,-3.352033336189257887e-04
-2.240074463450356101e-02,-3.585396281416873771e-04
-2.234575628396920366e-02,-3.459188903202622479e-04
-2.220838887411266324e-02,-2.880793842188850108e-04
-2.200156852459575138e-02,-1.798683523755608251e-04
-2.174560832139613500e-02,-3.156235940607451593e-05
-2.146555183283881466e-02,1.390791313490316009e-04
-2.118898297000923123e-02,3.185808728734661633e-04
-2.094358220913224850e-02,4.919872124576935186e-04
-2.075476232884608876e-02,6.434959539070416856e-04
-2.064372884772481750e-02,7.598558983564884101e-04
-2.062489358314938820e-02,8.236853986003447869e-04
-2.070394481015757834e-02,8.223669712779041810e-04
-2.087829196163912965e-02,7.606154433806404380e-04
-2.113852437697421802e-02,6.504521270061232145e-04
-2.147032731057416446e-02,5.066735678781411232e-04
-2.185655973539276861e-02,3.450934550292285817e-04
-2.227793186759604444e-02,1.712101406290322185e-04
-2.271320123075955960e-02,-1.309931680902026566e-05
-2.314015342711012169e-02,-1.997296655527445335e-04
-2.353659307515048454e-02,-3.807545640271406602e-04
-2.388145674223800599e-02,-5.481862901496694675e-04
-2.415607069566315726e-02,-6.930476085972226601e-04
-2.434447451814043817e-02,-8.138859797380804638e-04
-2.443379136403528440e-02,-9.087097633093126244e-04
-2.441573741072148446e-02,-9.648129339406768612e-04
-2.428815651161153957e-02,-9.689208425496263809e-04
-2.405654806885513738e-02,-9.091290687262801491e-04
-2.373495982006740279e-02,-7.787230086048922348e-04
-2.334449931434021130e-02,-5.904183481378203271e-04
-2.291081974342080649e-02,-3.659358876295328760e-04
-2.246190207309732567e-02,-1.229502633453673026e-04
-2.202570534254062740e-02,1.192486110824836132e-04
-2.162857496418620074e-02,3.431603850363440229e-04
-2.129415405908837919e-02,5.348535739803754463e-04
-2.104130517126225758e-02,6.741482963527436253e-04
-2.088249008806041321e-02,7.459341076556565966e-04
-2.082378241832125859e-02,7.535457137744811396e-04
-2.086535036929223000e-02,7.073992678789900890e-04
-2.100292667655411991e-02,6.229177403984898723e-04
-2.122920670516513855e-02,5.161305949223865888e-04
-2.153264967044606418e-02,3.872787137228547033e-04
-2.189576018368449839e-02,2.321780492394541874e-04
-2.229453781880430183e-02,5.523965565759733805e-05
-2.269845404976972292e-02,-1.377523583271543712e-04
-2.307251604851468310e-02,-3.352972219758627382e-04
-2.338064572310603884e-02,-5.212096267017923661e-04
-2.358733521176442638e-02,-6.901516382106353403e-04
-2.365975562632405618e-02,-8.348982975972997099e-04
-2.357241670831378144e-02,-9.313309070213576140e-04
-2.331172786124859411e-02,-9.548198117158891458e-04
