BCRepDisp(cm), BCRepAcc(g)
-1.099091524026679423e+00,-2.025251425048779919e-01
-1.081127672351482438e+00,-1.958308411751716882e-01
-1.049917661793966062e+00,-1.844342485972392809e-01
-1.005160129334570884e+00,-1.684466651714563723e-01
-9.850993387130663193e-01,-1.965932938955810561e-01
-9.842082057047372157e-01,-2.033729052190605957e-01
-9.720624386892537938e-01,-2.042950212668698251e-01
-9.668616586326096440e-01,-1.966047126034179970e-01
-9.499020148478054537e-01,-1.843786658147840984e-01
-9.210131187529717600e-01,-1.679788760514936696e-01
-8.819665106983640701e-01,-1.478279738940820043e-01
-8.360661391399228926e-01,-1.239696260687562501e-01
-7.877240367899520646e-01,-9.625948778160402231e-02
-7.419883948136712926e-01,-6.425581673723254617e-02
-7.039602569371891105e-01,-2.675908951051438056e-02
-6.780056283181520316e-01,1.792676909709470245e-02
-6.666630508129386401e-01,7.112665620318409099e-02
-5.178118575433945381e-01,-2.037893776694740117e-02
-4.902812809959112839e-01,-1.974233526585366383e-01
-3.831672740853236392e-01,-1.125028460730821550e-01
-3.823204009867296471e-01,-1.104910711170070531e-01
-3.723518800104922977e-01,-1.053960849933729405e-01
-3.711795468627696604e-01,-9.419251419608534737e-02
-3.685567408889617869e-01,-9.511381152684972307e-02
-3.625924519241240374e-01,-9.485416736612961586e-02
-3.536255717000565957e-01,-9.354647220539352714e-02
-3.421091706004162347e-01,-9.134822307352506721e-02
-3.285511647419816494e-01,-8.841463948354404134e-02
-3.134592609365774440e-01,-8.487475495255598912e-02
-2.973023551511946860e-01,-8.083425198725026350e-02
-2.804772819154522367e-01,-7.635597637022488449e-02
-2.632836715131701144e-01,-7.147345042462334430e-02
-2.610629297717925734e-01,-4.073330020245950756e-02
-2.603065497177358134e-01,-5.959692086842889591e-02
-2.595208345992383037e-01,-5.981558402305408445e-02
-2.563586141599761836e-01,-5.864718247112281346e-02
-2.505992790740815268e-01,-5.622695486587044739e-02
-2.422822202801174496e-01,-5.263199134348117703e-02
-2.316781654767894327e-01,-4.796370065741245581e-02
-2.192734410631385356e-01,-4.227710912637300256e-02
-2.189500770045587352e-01,-1.059015683591840451e-01
-1.773742671415361183e-01,-2.220876539602110317e-02
-1.716043075144836061e-01,-2.861896989903081959e-02
-1.688199227294542581e-01,-3.252747925739601920e-02
-1.676758037901876219e-01,-3.486971470600123274e-02
-1.670286038513832949e-01,-3.612299072350383389e-02
-1.659990252440527725e-01,-3.653069435804374987e-02
-1.639816032791281408e-01,-3.615601135067644106e-02
-1.606325420523637137e-01,-3.495888260973684797e-02
-1.558530494510558806e-01,-3.287387092181463105e-02
-1.533020258155560755e-01,-3.299829377469802594e-02
-1.514248028749173858e-01,-3.032064723044262250e-02
-1.503195497607885955e-01,-2.706399238836670190e-02
-1.491799325969748458e-01,-2.326287729822949096e-02
-1.476918212161612842e-01,-1.911235848728974271e-02
-1.458301666790803031e-01,-1.486861025599930247e-02
-1.436869163690081830e-01,-1.092487799651266703e-02
-1.436860970432047024e-01,-4.442374925845223727e-02
-1.425179719224586861e-01,-4.425622778225307002e-02
-1.395292217470749940e-01,-4.334011653549613152e-02
-1.348534653838506792e-01,-4.175086307153933612e-02
-1.296609008764414150e-01,-3.642894224253265516e-03
-1.294498248707037225e-01,-3.618533919007526495e-03
-1.289086993338005027e-01,-3.412453313319531098e-03
-1.280433042041802250e-01,-3.057113357301029666e-03
-1.268741802095594284e-01,-2.582073125877050370e-03
-1.254335071375041744e-01,-2.014826108100061831e-03
-1.237624855450226574e-01,-1.382873624529591412e-03
-1.219091680208869016e-01,-7.054041074692047296e-04
-1.199263696562575254e-01,-1.245110592762721784e-05
-1.178702808500835530e-01,6.492399364758669276e-04
-1.157981603296030920e-01,1.243739620860290912e-03
-1.137645550643323900e-01,1.744144248197313819e-03
-1.118183986700090338e-01,2.127636358007797910e-03
-1.100008541583355620e-01,2.390782427276579285e-03
-1.083433964590735793e-01,2.524459265769770071e-03
-1.068674195212868244e-01,2.506308482449643230e-03
-1.055833253891334533e-01,2.340013992129205342e-03
-1.044885298145115660e-01,2.050186898465401752e-03
-1.035677189428563655e-01,1.669068943405365660e-03
-1.027949145184733210e-01,1.242930301529439601e-03
-1.021362728646706269e-01,7.975270071162797025e-04
-1.015541404084425031e-01,3.231107836574755423e-04
-1.010093791435543731e-01,-1.831815749868183915e-04
-1.004607317344144712e-01,-7.113388010233403754e-04
-9.986476015671566508e-02,-1.253087018011844137e-03
-9.917676570053758633e-02,-1.786548069014793445e-03
-9.835159239083547666e-02,-2.296037923094086750e-03
-9.734564383346844263e-02,-2.782412423928267223e-03
-9.611823476904916841e-02,-3.220330239476836779e-03
-9.463144162750737609e-02,-3.559508126872926084e-03
-9.285211699446073441e-02,-3.750750967650914869e-03
-9.075586051100006935e-02,-3.748600545785572922e-03
-8.833099007812121595e-02,-3.536365290630143297e-03
-8.558238672467824437e-02,-3.139892635933107419e-03
-8.253275416639316298e-02,-2.593630328672724868e-03
-7.922014334257632129e-02,-1.932678727502320929e-03
-7.569475790296649464e-02,-1.206858054819914122e-03
-7.201564783103293899e-02,-4.654273993001524870e-04
-6.824634202906325331e-02,2.366652707871501880e-04
-6.445086785136566743e-02,8.344096506968903988e-04
-6.068926837878486913e-02,1.291881965112502651e-03
-5.701216855416432056e-02,1.607557789127004970e-03
-5.345789709220041125e-02,1.789688523126605618e-03
-5.005249230747817191e-02,1.856003588640642039e-03
-4.681055436280927295e-02,1.821719571797280821e-03
-4.373696950138630107e-02,1.682196302669321849e-03
-4.082814798651490662e-02,1.440871972326229549e-03
-3.807127473512873783e-02,1.123330859459666271e-03
-3.544422555531637209e-02,7.454935155642315649e-04
-3.291745484546959588e-02,3.137860222901804781e-04
-3.045524787096614769e-02,-1.579441631031706494e-04
-2.801642087470383735e-02,-6.558713602477989676e-04
-2.555576987574759498e-02,-1.151161466520033046e-03
-2.302554806818223054e-02,-1.584500399713909729e-03
-2.037831397335269912e-02,-1.905102923848309799e-03
0.000000000000000000e+00,0.000000000000000000e+00
4.335995448925340084e-03,-1.665632192699040759e-03
5.560988361155719262e-03,-1.817548234630606170e-03
7.062257066693220127e-03,-1.840752222787194912e-03
8.818408554492633902e-03,-1.732056127376208586e-03
1.079676819546503304e-02,-1.485234323400983283e-03
1.294679059307801000e-02,-1.106103447594202795e-03
1.520295491973525960e-02,-6.269321074761220443e-04
1.749168987098393552e-02,-9.738121403106073234e-05
1.974117976358035279e-02,4.224676952100782455e-04
2.189153915091048008e-02,8.727810291907653556e-04
2.389973246335127394e-02,1.223547143445470739e-03
2.573999399419252612e-02,1.471084173597406088e-03
2.740444492981206764e-02,1.606677277620145120e-03
2.890216558527994306e-02,1.628010369926342861e-03
3.025594098794712888e-02,1.549706225421714368e-03
3.149842745187787091e-02,1.391512145355088773e-03
3.266507933743860448e-02,1.192163925507353905e-03
3.378615259455911013e-02,9.970436946550652151e-04
3.488473764260551641e-02,8.147993591780997545e-04
3.597867180936509257e-02,6.305999678080686285e-04
3.708154017055308865e-02,4.394478484186434817e-04
3.820425995515677742e-02,2.372251872690329152e-04
3.935572209451766029e-02,2.927974395533494700e-05
4.054152116711410431e-02,-1.634189612557535975e-04
4.176604915172541649e-02,-3.399779560112538182e-04
4.303585586601572227e-02,-5.085681708814645098e-04
4.435860404858149586e-02,-6.526229266406567307e-04
4.574030033716318389e-02,-7.489936507974251628e-04
4.718281005465725653e-02,-7.787107214796845384e-04
4.868097269782227510e-02,-7.245001608714783485e-04
5.022295893418986246e-02,-5.969125129705008274e-04
5.179355273835090784e-02,-4.298992388954786742e-04
5.337512316203631840e-02,-2.454056837728408377e-04
5.494782486716871805e-02,-6.018091592469228832e-05
5.649129780777263632e-02,1.076844278857657267e-04
5.798596733094868449e-02,2.501539911022778047e-04
5.941528947781927333e-02,3.525623802940790002e-04
6.076882736586622369e-02,3.971386308422296960e-04
6.204256982524480185e-02,3.882480506293766679e-04
6.323757898715047510e-02,3.421600546544700133e-04
6.435940120646987950e-02,2.749965961922686301e-04
6.541735115441935089e-02,2.047635869873398154e-04
6.642434139267872073e-02,1.352359205631108630e-04
6.739763465893323924e-02,5.682570269096258583e-05
6.835799587522689569e-02,-2.871781689951938635e-05
6.932758415687426123e-02,-1.132436845916174304e-04
7.032801300227688179e-02,-1.894465302062174064e-04
7.137784665110268045e-02,-2.440661059150268345e-04
7.249031903655837883e-02,-2.711056548476707727e-04
7.367179321899171296e-02,-2.712532055799874407e-04
7.491992702606849186e-02,-2.347662167043096837e-04
7.622221444135510171e-02,-1.499402523196839091e-04
7.755579986787716762e-02,-1.280750908780401830e-05
7.888865948338136258e-02,1.742106717341174139e-04
8.018311819107890037e-02,3.911040499683082739e-04
8.140135701953372938e-02,6.023740476720110086e-04
8.251089874518911793e-02,7.777119479142075714e-04
8.348944451907783226e-02,8.924974688507988051e-04
