-0.7845	1.3305	2.23	3.298
-1.1095	0.717	2.9055	1.4265
0.0675	1.211	0.4135	1.219
0.2545	0.3035	0.082	0.5885
1.6475	-0.7865	-0.6565	-0.562
0.509	0.144	-2.213	-1.342
0.236	-0.516	-0.9455	-2.721
-1.279	-1.1515	-2.434	-2.8265
-0.2735	-1.961	-3.309	-2.1455
-0.6785	-2.7915	-2.443	-2.5615
-0.1745	-1.934	-3.813	-3.14
0.1625	-1.2485	-2.5175	-4.0175
0.7295	-0.9205	-1.9295	-4.567
0.6035	0.04	-2.4995	-3.0135
0.6275	-1.425	-0.5665	-2.2775
0.165	-1.1955	-1.031	-0.902
-0.265	0.036	-0.1135	0.3295
-0.5855	-0.237	1.5755	-0.0185
-0.631	1.062	0.8485	1.4495
-0.388	0.678	1.9405	2.13
0.508	0.496	1.495	3.0895
0.4965	1.6215	1.1095	3.8455
0.5365	1.3945	2.9245	2.604
0.016	2.495	2.025	3.1445
-0.0445	2.156	2.5595	2.79
1.014	0.914	1.9685	2.6755
2.6075	1.7135	0.431	3.4545
1.878	1.758	1.994	1.632
0.117	2.025	2.143	1.0525
-1.654	0.699	2.089	1.3355
-0.979	-0.7715	1.558	1.744
-0.591	-0.6075	-0.129	2.141
-0.0605	-1.4125	0.4415	-0.248
-1.0135	0.251	-0.2015	-1.4525
-1.3765	0.3955	-0.3145	-2.5495
-0.5755	-1.903	-1.043	-2.345
-0.121	-1.8815	-3.3	-1.0425
-0.5445	-2.312	-2.0915	-2.856
-0.6665	-1.8615	-2.8635	-3.7965
0.088	-0.684	-3.7935	-3.9605
-0.3015	-0.968	-2.6855	-4.108
-0.294	-2.322	-3.6625	-2.609
-0.6865	-2.633	-3.4635	-1.836
0.0485	-1.7435	-1.7595	-2.406
1.017	-0.0005	-2.301	-2.5525
0.293	0.683	-0.5545	-2.4135
-0.094	0.305	0.596	-0.8515
-1.8335	-0.8785	0.2845	1.4095
-1.1445	-1.853	1.527	2.347
-0.3725	0.2335	1.364	2.4715
0.19	1.7915	2.2705	1.693
0.597	2.0485	3.04	1.058
1.108	2.8995	2.1855	2.5105
0.826	1.609	2.8535	3.8595
1.5815	0.572	2.07	3.822
1.236	2.4705	1.7205	3.648
0.532	2.9345	3.1245	2.449
-1.2355	1.9775	2.0915	2.5255
-2.035	-0.088	1.979	3.5915
-2.745	-1.6975	1.587	3.557
-0.9015	-1.517	-0.3555	1.786
1.351	0.039	-0.188	-1.3885
1.695	1.918	-0.7495	-3.799
0.325	0.8155	-0.875	-4.544
0.57	-2.028	-1.369	-3.132
1.0415	-2.563	-3.3145	-1.7985
2.2375	-2.1935	-2.7125	-2.9685
2.11	0.123	-2.8325	-4.444
0.771	1.251	-1.6125	-4.839
0.1025	-0.2105	-1.274	-2.436
-0.8145	-1.72	-2.148	1.089
-1.141	-2.9385	-0.6495	1.4815
0.1645	-0.759	-0.5785	1.0415
0.692	2.5085	0.1015	0.4465
0.5695	2.813	2.3135	-0.145
-1.687	1.2535	2.1685	2.024
-1.785	-1.0865	2.386	5.235
-2.01	-1.308	2.253	5.586
-0.9555	-0.0185	2.628	3.2575
-0.742	2.388	2.742	0.8085
-0.5925	3.2555	2.229	0.0455
-0.495	0.3375	1.495	0.966
-0.8425	-2.2925	-0.004	2.5225
-0.4835	-2.1335	-0.2025	1.4525
0.811	-0.3605	-1.012	-1.824
1.9215	2.0515	-1.6045	-3.9295
2.285	1.628	-1.449	-4.7605
1.566	-0.4415	-2.5975	-2.235
1.143	-2.6415	-2.746	-0.508
0.4405	-2.3135	-2.191	-1.0025
-0.5305	0.0585	-1.6675	-1.582
-1.007	0.567	-0.466	-2.6515
